,lat,lon,onset_threshold
1075,7.25,42.25,20
1076,7.25,42.5,20
1077,7.25,42.75,20
1078,7.25,43.0,20
1079,7.25,43.25,20
1080,7.25,43.5,20
1081,7.25,43.75,20
1082,7.25,44.0,20
1083,7.25,44.25,20
1084,7.25,44.5,20
1085,7.25,44.75,20
1086,7.25,45.0,20
1087,7.25,45.25,20
1088,7.25,45.5,20
1089,7.25,45.75,20
1090,7.25,46.0,20
1091,7.25,46.25,20
1092,7.25,46.5,20
1093,7.25,46.75,20
1094,7.25,47.0,20
1095,7.25,47.25,20
1096,7.25,47.5,20
1097,7.25,47.75,20
1098,7.25,48.0,20
1099,7.5,33.0,20
1100,7.5,33.25,20
1101,7.5,33.5,20
1102,7.5,33.75,20
1103,7.5,34.0,20
1104,7.5,34.25,20
1105,7.5,34.5,20
1106,7.5,34.75,20
1107,7.5,35.0,20
1108,7.5,35.25,20
1109,7.5,35.5,20
1110,7.5,35.75,20
1111,7.5,36.0,20
1112,7.5,36.25,20
1113,7.5,36.5,20
1114,7.5,36.75,20
1115,7.5,37.0,20
1116,7.5,37.25,20
1117,7.5,37.5,20
1118,7.5,37.75,20
1119,7.5,38.0,20
1120,7.5,38.25,20
1121,7.5,38.5,20
1122,7.5,38.75,20
1123,7.5,39.0,20
1124,7.5,39.25,20
1125,7.5,39.5,20
1126,7.5,39.75,20
1127,7.5,40.0,20
1128,7.5,40.25,20
1129,7.5,40.5,20
1130,7.5,40.75,20
1131,7.5,41.0,20
1132,7.5,41.25,20
1133,7.5,41.5,20
1134,7.5,41.75,20
1135,7.5,42.0,20
1136,7.5,42.25,20
1137,7.5,42.5,20
1138,7.5,42.75,20
1139,7.5,43.0,20
1140,7.5,43.25,20
1141,7.5,43.5,20
1142,7.5,43.75,20
1143,7.5,44.0,20
1144,7.5,44.25,20
1145,7.5,44.5,20
1146,7.5,44.75,20
1147,7.5,45.0,20
